key	old	new	resolves
gaia:1827242816176111360	HIP 98505 B	V452 Vul B	no
gaia:1829590410954063744	17 Sge	θ Sge	yes
gaia:1829590548393010560	The Sge A	θ Sge A	yes
gaia:1829590548393015168	The Sge B	θ Sge B	yes
gaia:1829793683166010880	HIP 99717 B	NSV 12927 B	no
gaia:1852007631960413440	HIP 105162 B	V2150 Cyg B	no
gaia:1852355451295989504	HIP 104371 B	V389 Cyg B	no
gaia:1857726771766434048	HIP 101798 C	HIP 101803 C	no
gaia:1859954695858413184	HIP 102766 B	V2431 Cyg B	no
gaia:1868464980270854912	HIP 104579 B	NSV 25507 B	no
gaia:1869341845103356928	HIP 102571 B	T Cyg B	no
gaia:1870779903236215040	Lam Cyg B	λ Cyg B	yes
gaia:1872985622323641216	HIP 103822 B	NSV 25434 B	no
gaia:1873073175249217408	HIP 103655 B	V1396 Cyg B	no
gaia:1908368597999299840	8 Lac A	8 Lac Aa	no
gaia:191786305703417344	HIP 27067 B		no
gaia:1926515040983239680	HIP 116685 B	V392 And B	no
gaia:1929776570427771776	HIP 112901 D	HIP 112905 D	no
gaia:1931540904335545856	HIP 114106 B	V380 And B	no
gaia:1939115478598580352	Udkadua	λ And	yes
gaia:19400302852196096	HIP 12022	264 G. Cet	yes
gaia:1946143213326121344	HIP 107781 B	V401 Peg B	no
gaia:1962614687784466560	HIP 109354 B	V402 Lac B	no
gaia:1962614893942891776	HIP 109342	V402 Lac Da	yes
gaia:1962740066464303744	HIP 108845 B	V1942 Cyg B	no
gaia:1962740066469924096	V1942 Cyg	V1942 Cyg A	yes
gaia:1964791549008457856	Tau Cyg F	τ Cyg F	yes
gaia:1971467916750747264	68 Cyg	A Cyg	yes
gaia:1972198271665518208	71 Cyg	g Cyg	yes
gaia:19757227518759424	HIP 12272	276 G. Cet	yes
gaia:198776553956316928	Ome Aur B	ω Aur B	yes
gaia:1990723839987250176	Honores	7 And	yes
gaia:1993966432915818112	Sig Cas B	σ Cas B	yes
gaia:1993966437221117568	σ Cas	σ Cas A	yes
gaia:2005804153064109056	HIP 109926 T	V447 Lac T	no
gaia:2008712915376915200	HIP 113797 C	V638 Cas C	no
gaia:2011151357277942400	HD 221237	AR Cas C	yes
gaia:2011151357284012416	HD 221237 D	AR Cas D	no
gaia:2011151391642324608	HIP 115990 F	AR Cas F	no
gaia:2011151391642325120	HIP 115990 G	AR Cas G	no
gaia:2013906557327926784	HIP 114791 C	V458 Cep C	no
gaia:2013906561629759232	HIP 114791 B	V458 Cep B	no
gaia:2013906561629760768	HIP 114791 E	V458 Cep E	no
gaia:2017189772066313216	HIP 117430 B	V650 Cas B	no
gaia:2020756347270442496	HD 338936 B	V491 Vul B	no
gaia:2034581091125010048	HIP 97292 B	NSV 24882 B	no
gaia:203855713561818240	58 Per	e Per	yes
gaia:2042453731769556224	HIP 93798 B	NSV 11742 B	no
gaia:2056885783959438848	HIP 101313 B	NSV 25172 B	no
gaia:2059076148570916736	HIP 99002 B		no
gaia:2059076247346551936	HIP 99005 G		no
gaia:2059076251666502016	HIP 99005 H		no
gaia:2059103120983068160	27 Cyg	b¹ Cyg	yes
gaia:2059236196250418688	HD 191611 D	NSV 12850 D	no
gaia:2059262344012317312	28 Cyg	b² Cyg	yes
gaia:2059372363870220928	Eta Cyg B	η Cyg B	yes
gaia:2059742207798573184	HIP 98446	NSV 24965 B	yes
gaia:2060523518197844608	29 Cyg	b³ Cyg	yes
gaia:2061242908036996352	34 Cyg	P Cyg	yes
gaia:2062359152847218432	HIP 100069 C	NSV 25092 C	no
gaia:2062360626009209856	HIP 100069 B	NSV 25092 B	no
gaia:2067830941175791616	HIP 101341 B	V729 Cyg B	no
gaia:2069136233272220800	HIP 100515 B	NSV 13053 B	no
gaia:2073839527410089600	HIP 97706 C	V2514 Cyg C	no
gaia:2079025206503111680	HIP 98156 B	V2095 Cyg B	no
gaia:2082600852679281408	31 Cyg	ο¹ Cyg	yes
gaia:2084154943646648320	32 Cyg	ο² Cyg	yes
gaia:2087828961746272768	26 Cyg	e Cyg	yes
gaia:2089092880417251712	Psi Cyg B	ψ Cyg B	yes
gaia:2090687726329643392	HD 174664	Sheliak B	yes
gaia:2091218000175888896	HIP 91235 B	NSV 11113 B	no
gaia:2092240374191428224	HIP 92829	NSV 11538 C	yes
gaia:2093932041545255680	Del-2 Lyr B	δ² Lyr B	no
gaia:2093932041549971072	Del-2 Lyr C	δ² Lyr C	no
gaia:2096869455581362560	Zet-1 Lyr D	ζ² Lyr	no
gaia:2096875399817444736	Zet-1 Lyr A	ζ¹ Lyr	no
gaia:2098202128093842432	Eps-1 Lyr CD	ε² Lyr B	no
gaia:2098202128100428288	Eps-1 Lyr D	ε² Lyr A	no
gaia:2098237656065233792	Eps-1 Lyr B	ε¹ Lyr B	no
gaia:2098237660364079232	Eps-1 Lyr AB	ε¹ Lyr A	no
gaia:2100370438042973696	HIP 93954 B	V875 Lyr B	no
gaia:211810233512673792	Gl 195A	Capella H	yes
gaia:21258168265001088	HIP 13544 C	HIP 13543 C	no
gaia:2132788541955849216	HIP 94336 B	NSV 11823 B	no
gaia:2135110259540829824	The Cyg E	θ Cyg E	yes
gaia:2135550755683405952	16 Cyg A	c Cyg Aa	no
gaia:2135550755683407232	16 Cyg B	c Cyg B	yes
gaia:2135550755684554112	16 Cyg Ab	c Cyg Ab	yes
gaia:2137210017510711552	20 Cyg	d Cyg	yes
gaia:2145517618131590784	HIP 91436 A	HD 172713	no
gaia:2147865732587997056	46 Dra	c Dra	yes
gaia:2148205378601490688	45 Dra	d Dra	yes
gaia:2150402920092811648	HD 238802 S	HIP 88385 S	no
gaia:2157548616097840000	39 Dra A	b Dra A	yes
gaia:2157548616097840128	39 Dra B	b Dra B	yes
gaia:2157548753536798208	39 Dra C	b Dra C	yes
gaia:2163949388695291136	59 Cyg	f¹ Cyg	yes
gaia:2165218431286782336	63 Cyg	f² Cyg	yes
gaia:2168194049027032064	HIP 102804 B	NSV 25356 B	no
gaia:2168194053323664640	HIP 102804 C	NSV 25356 C	no
gaia:217180007783721472	42 Per	n Per	yes
gaia:2174336062725809152	HIP 107036 C	RU Cyg C	no
gaia:2176462930517457408	HIP 104107 C	NSV 25464 C	no
gaia:2178397693037492608	HIP 106884	NSV 25719 D	yes
gaia:218170461600456576	40 Per	o Per	yes
gaia:2185778194886451200	HD 190464 D	HD 190398 D	no
gaia:2190258605992864896	HIP 102431	υ¹ Cep	yes
gaia:2191133748536265088	HIP 105091 B	V421 Cep B	no
gaia:2192286895707671040	HD 239600	NSV 13598 C	yes
gaia:2192287033146623872	HIP 104642 B	NSV 13598 B	no
gaia:2200153214212849024	Del Cep C	δ Cep C	yes
gaia:2200153454733285248	Del Cep A	δ Cep A	yes
gaia:2202886703204977024	15 Cep A	15 Cep	no
gaia:2204369871365287168	HIP 108073 C	EM Cep C	no
gaia:2205868578724423168	HIP 109505 B	V447 Cep B	no
gaia:2207191840967531904	HD 216658 B	NSV 25973 B	no
gaia:2207291862166583296	HIP 113306 B	NSV 25981 B	no
gaia:2213911506281422208	Omi Cep B	ο Cep B	yes
gaia:2213911506286166400	ο Cep	ο Cep A	yes
gaia:2224986268437189888	HIP 112317 C	ZZ Cep C	no
gaia:2247463722077719296	65 Dra A	65 Dra	yes
gaia:2247469838114355200	64 Dra	e Dra	yes
gaia:225709641030792448	HIP 19255 B	V491 Per B	no
gaia:2269103103050503936	HIP 88379 C	NSV 24271 C	no
gaia:2269103107346676608	HIP 88379 B	NSV 24271 B	no
gaia:227814278088126848	52 Per	f Per	yes
gaia:2282790893241302144	HIP 115147 C	V368 Cep C	no
gaia:2282846074981011328	HIP 115147 B	V368 Cep B	no
gaia:2290599311288350720	Kap Cep B	κ Cep B	yes
gaia:2294405721759384064	41 Dra B	40 Dra	yes
gaia:2294405824838599808	41 Dra A	41 Dra	no
gaia:2298101352139398144	74 Dra A	74 Dra	yes
gaia:229896993629879808	HD 275984	ε Per Da	yes
gaia:229898024422024192	Eps Per B	ε Per B	yes
gaia:231113740685855616	HIP 17666 B	V580 Per B	no
gaia:231114015563994496	HIP 17666 Ca	V580 Per Ca	no
gaia:2321555378268169344	Kap-1 Scl B	κ¹ Scl B	no
gaia:2328250334633289856	Del Scl C	δ Scl C	yes
gaia:2336658441785724672	HIP 253	5 G. Cet	yes
gaia:2337191189529102336	HIP 560	9 G. Cet	yes
gaia:2338151475497203584	HIP 118029	1 G. Cet	yes
gaia:2338377459496220032	HIP 117797	274 G. Aqr	yes
gaia:2340329539312677888	HIP 636	11 G. Cet	yes
gaia:2341623836296013184	HIP 118081	2 G. Cet	yes
gaia:23420151723059200	HIP 11603	254 G. Cet	yes
gaia:2345717661684915072	HIP 4104	88 G. Cet	yes
gaia:2347427402266219008	HIP 3185	64 G. Cet	yes
gaia:2348351713587309568	HIP 2381	49 G. Cet	yes
gaia:2348816429049395584	HIP 3858	82 G. Cet	yes
gaia:2349116011607993344	HIP 3607	77 G. Cet	yes
gaia:2349591516026681088	HIP 3741	79 G. Cet	yes
gaia:2349940954566607488	HIP 3505	73 G. Cet	yes
gaia:2350958071541408000	HIP 5170	106 G. Cet	yes
gaia:2350960614161169408	HIP 5259	108 G. Cet	yes
gaia:2354096868001276928	HIP 6427	133 G. Cet	yes
gaia:2359289449102200192	HIP 4801	101 G. Cet	yes
gaia:2363787791689843968	NSV 15091	39 G. Cet	yes
gaia:2365392082233625472	HIP 1402	29 G. Cet	yes
gaia:2365797802024512640	HIP 238	4 G. Cet	yes
gaia:2366512209704495744	NSV 15047	18 G. Cet	yes
gaia:236810310427572480	HIP 16220 B	HIP 16218	no
gaia:2368452710289481984	NSV 15084	38 G. Cet	yes
gaia:2368926221843121152	HIP 3493 C	NSV 00282 C	no
gaia:2369144784138444928	HIP 3717	78 G. Cet	yes
gaia:2370481549759736192	HIP 3175	63 G. Cet	yes
gaia:2370635550107275392	HIP 3576	76 G. Cet	yes
gaia:2372822169497640960	HIP 3849	81 G. Cet	yes
gaia:2374246930408172544	HIP 2846	57 G. Cet	yes
gaia:2374591799102346624	HIP 2337	47 G. Cet	yes
gaia:2376965163670518016	HIP 3436	71 G. Cet	yes
gaia:2384241010068307712	86 Aqr	c¹ Aqr	yes
gaia:2384510493496388992	HIP 113673	200 G. Aqr	yes
gaia:2385475383669250688	HIP 115522	233 G. Aqr	yes
gaia:2385897355615864192	89 Aqr	c³ Aqr	yes
gaia:2388950665046418432	101 Aqr	b³ Aqr	yes
gaia:2390144081839340288	108 Aqr	i³ Aqr	yes
gaia:2391220091406075648	106 Aqr	i¹ Aqr	yes
gaia:2391424909806308992	HIP 115709	236 G. Aqr	yes
gaia:2391835199442300544	99 Aqr	b² Aqr	yes
gaia:2392584791494639744	98 Aqr	b¹ Aqr	yes
gaia:2393196978952955648	HIP 115528	234 G. Aqr	yes
gaia:2393870910861426304	103 Aqr	A¹ Aqr	yes
gaia:2394297418293724416	104 Aqr	A² Aqr	yes
gaia:2394298380366383744	104 Aqr	A² Aqr	yes
gaia:2395769080247888640	HIP 116368	246 G. Aqr	yes
gaia:2395832199087266816	HIP 116624	251 G. Aqr	yes
gaia:2398487519668274048	HIP 113801	205 G. Aqr	yes
gaia:2399386164265552000	HIP 113204	196 G. Aqr	yes
gaia:2399702857974158336	HIP 113080	189 G. Aqr	yes
gaia:2402154975062755584	66 Aqr	g Aqr	yes
gaia:2405127813985747456	HIP 115144	225 G. Aqr	yes
gaia:2410222091875449216	HIP 114371	213 G. Aqr	yes
gaia:2411499518228580480	HIP 113531	198 G. Aqr	yes
gaia:241279069280395904	32 Per	l Per	yes
gaia:2414558084699665920	HIP 602	10 G. Cet	yes
gaia:2414986756795427328	HIP 343	7 G. Cet	yes
gaia:2418378578368615680	HIP 873	14 G. Cet	yes
gaia:2418649985941425280	HIP 117494	266 G. Aqr	yes
gaia:2419364634139939840	HIP 117567	269 G. Aqr	yes
gaia:2419392534247900544	HIP 117722	271 G. Aqr	yes
gaia:2419578351712451328	HIP 116957	258 G. Aqr	yes
gaia:242557835667623424	HIP 15455 B	NSV 15666 B	no
gaia:2426456857800772096	HIP 2444 C	HIP 2431 C	no
gaia:2428341184508675456	HIP 1191	27 G. Cet	yes
gaia:2429415922764859392	HIP 671	12 G. Cet	yes
gaia:2432711021673697920	HIP 117314	264 G. Aqr	yes
gaia:24328893787973504	HIP 11390 C	VW Ari C	no
gaia:2432909346083636096	HIP 116853	255 G. Aqr	yes
gaia:24329104242020224	HIP 11390 B	VW Ari B	no
gaia:2434686809709175808	HIP 117541	268 G. Aqr	yes
gaia:2435271676880027008	HIP 117756	h Aqr	yes
gaia:2436496021732959232	HIP 115839	237 G. Aqr	yes
gaia:2437423837748208512	HIP 115906	238 G. Aqr	yes
gaia:2439978415576333568	HIP 116428	248 G. Aqr	yes
gaia:2440375511072529280	HIP 116060	240 G. Aqr	yes
gaia:2443724589131828224	NSV 15038	67 G. Psc	yes
gaia:2452023015703982336	HIP 6589	139 G. Cet	yes
gaia:2456361654225919488	HIP 6456 C	NSV 15294 C	no
gaia:2456361654226797440	HIP 6456 B	NSV 15294 B	no
gaia:2458737831999741056	HIP 6822 B	149 G. Cet B	no
gaia:2458737836293170048	HIP 6822	149 G. Cet	yes
gaia:2460011895391355776	HIP 9237	193 G. Cet	yes
gaia:2461045814278696448	HIP 8486 B	EZ Cet B	no
gaia:2461220327389863552	NSV 00715	205 G. Cet	yes
gaia:246137776809763712	48 Per	c Per	yes
gaia:2461844678195795968	HIP 10215	219 G. Cet	yes
gaia:2464859126762143616	HIP 7580	170 G. Cet	yes
gaia:2467432602446418176	HIP 8664	186 G. Cet	yes
gaia:246797689941910784	HIP 18663	IQ Per B	yes
gaia:2470289889570932224	HIP 6272	128 G. Cet	yes
gaia:2474724769720911104	HIP 4346	93 G. Cet	yes
gaia:2477891500647336704	HIP 7276	165 G. Cet	yes
gaia:2478001486169801216	HIP 7576 B	EX Cet B	no
gaia:2478536467296884864	HIP 6564	137 G. Cet	yes
gaia:2479813756210251136	HIP 8230	179 G. Cet	yes
gaia:2480158384386273024	HIP 8094	176 G. Cet	yes
gaia:2481138392843715968	HIP 7999	175 G. Cet	yes
gaia:2481313283912066944	HIP 7597	171 G. Cet	yes
gaia:2483442385100118656	HIP 6283	127 G. Cet	yes
gaia:2483926990554404864	HIP 7362	166 G. Cet	yes
gaia:2484969675470524928	HIP 6605	138 G. Cet	yes
gaia:2486064685972601472	HIP 10396	227 G. Cet	yes
gaia:2492286341237939328	NSV 15432	203 G. Cet	yes
gaia:2495628341190239872	HIP 12584	289 G. Cet	yes
gaia:2495692937498345344	HIP 12720	293 G. Cet	yes
gaia:2500505225015253504	NSV 00846	256 G. Cet	yes
gaia:2503013584700232320	HIP 11738	259 G. Cet	yes
gaia:2503654874857069440	HIP 12318	279 G. Cet	yes
gaia:250437313946591360	43 Per	A Per	yes
gaia:250437691903701760	43 Per B	A Per B	yes
gaia:2507203484211316224	HIP 9827	207 G. Cet	yes
gaia:2512824943566639232	HIP 8404	131 G. Psc	yes
gaia:2513664248895784192	HIP 10723	232 G. Cet	yes
gaia:2514407999792605184	HIP 10273	221 G. Cet	yes
gaia:252320021449765888	57 Per	m Per	yes
gaia:2527541872345889792	NSV 15147	65 G. Cet	yes
gaia:2528774287440187136	NSV 15165	74 G. Cet	yes
gaia:2533996486636141056	NSV 15305	144 G. Cet	yes
gaia:2540974571542436096	HIP 1939	84 G. Psc	yes
gaia:2547964815499312768	HIP 1421	76 G. Psc	yes
gaia:2550145254432544512	HIP 3992	98 G. Psc	yes
gaia:2550687966499222144	HIP 2954	92 G. Psc	yes
gaia:2559260652502356608	HIP 6432	131 G. Cet	yes
gaia:2562879832464178432	89 Psc	f Psc	yes
gaia:2566344840279787648	HIP 6307 B	AQ Psc B	no
gaia:2566590993445448064	HIP 6873	118 G. Psc B	yes
gaia:2566591062164908928	NSV 00519	118 G. Psc	yes
gaia:2566658785209305344	HIP 7243	121 G. Psc	yes
gaia:2569358704730960384	HIP 9706	138 G. Psc	yes
gaia:257075615399416448	53 Per	d Per	yes
gaia:2572002686598426496	HIP 7819	124 G. Psc	yes
gaia:2576176638895865984	80 Psc	e Psc	yes
gaia:2579957240908286720	HIP 5575	112 G. Psc	yes
gaia:2586131788972205696	100 Psc A	100 Psc	yes
gaia:2587120421724199552	HIP 6694 B		no
gaia:2587121486875630464	HIP 6694 Aa		no
gaia:2587121486876087936	HIP 6694 Ab		no
gaia:2595463996992115840	53 Aqr B	f Aqr B	yes
gaia:2595464065711175680	53 Aqr D	f Aqr D	yes
gaia:2595464065711593216	53 Aqr C	f Aqr C	yes
gaia:2598528198459891840	HIP 111870 B	NV Aqr B	no
gaia:2598534104039407744	HIP 111870 D	NV Aqr D	no
gaia:2601277488630223104	HIP 111066	152 G. Aqr	yes
gaia:2613067624829515008	38 Aqr	e Aqr	yes
gaia:2622551324935995136	HIP 110532	138 G. Aqr	yes
gaia:2627054267433343360	HIP 109647	121 G. Aqr	yes
gaia:2628335477652395648	HIP 111171	155 G. Aqr	yes
gaia:263556446169787520	HIP 25996 B	V429 Aur B	no
gaia:2635933029985529472	HIP 113686	202 G. Aqr	yes
gaia:2636059134520888448	HIP 113345	197 G. Aqr	yes
gaia:2637094423501996928	HIP 114822	217 G. Aqr	yes
gaia:2643606079255851648	HIP 117445	45 G. Psc	yes
gaia:2644999744602655232	HIP 115476	24 G. Psc	yes
gaia:2649234479277266048	HIP 113433	7 G. Psc	yes
gaia:2649536673176088704	NSV 14303	NSV 14303 A	yes
gaia:2649536913693752960	NSV 14303	NSV 14303 BC	yes
gaia:2652296550441238400	HIP 114005	16 G. Psc	yes
gaia:2655904357329351552	HIP 113622	11 G. Psc	yes
gaia:2661005953843811456	7 Psc	b Psc	yes
gaia:2661963422312705664	HIP 113705	13 G. Psc	yes
gaia:2662771735157880704	HIP 113360	5 G. Psc	yes
gaia:2663797545147268224	HIP 113904	15 G. Psc	yes
gaia:2666164484444176256	46 Cap	c Cap	yes
gaia:2668067326754670208	HIP 107596	89 G. Aqr	yes
gaia:2668850591350593408	HIP 108453	96 G. Aqr	yes
gaia:2669361142702790272	HIP 108506	98 G. Aqr	yes
gaia:2670160040979782400	HIP 108102	94 G. Aqr	yes
gaia:2672392221382804224	HIP 106592	80 G. Aqr	yes
gaia:2675287613455902464	HIP 109442	115 G. Aqr	yes
gaia:2677680631794071936	HIP 109984	128 G. Aqr	yes
gaia:2678143182591522048	Zet-1 Aqr B	ζ¹ Aqr B	no
gaia:2685805266809529472	HIP 105046	55 G. Aqr	yes
gaia:2687733913283870336	HIP 106335 B	HZ Aqr B	no
gaia:2688034762857131136	HIP 105819	72 G. Aqr	yes
gaia:2694414129322277504	25 Aqr	d Aqr	yes
gaia:2701667440026992128	HIP 107271	10 G. Peg	yes
gaia:2712155131688789632	HIP 113465	8 G. Psc	yes
gaia:271495572960091648	NSV 01550	b² Per	yes
gaia:2715770085402308352	HIP 111932 Ab	QQ Peg Ab	no
gaia:2717948767692845568	Sig Peg D	σ Peg D	yes
gaia:2719475542667351552	Xi Peg B	ξ Peg B	yes
gaia:2722592692491549824	HIP 110341	31 G. Peg	yes
