tyc	hip	hd	gl	gaia_source_id	reason
6811-557-1		153872		4113805751557168384	refused_no_defensible_parallax
6818-1950-1		152266		6033035527309235328	refused_no_defensible_parallax
6854-1645-1		316980		4062429318531835136	refused_no_defensible_parallax
6857-2726-1		170765		4077960744874174592	refused_no_defensible_parallax
6861-2179-1		170398		4076169503008294528	refused_no_defensible_parallax
6863-92-1	91858	172893		4076524709573265920	refused_no_defensible_parallax
6865-1013-1		170841		4048669548929228928	refused_no_defensible_parallax
6866-1163-1		172296		4072592276218004864	refused_no_defensible_parallax
6878-287-1		178964		6770141452444996096	refused_no_defensible_parallax
6882-393-1		179667		6762935974793920896	refused_no_defensible_parallax
6889-1323-1	96274	184268		6768305615921978240	refused_no_defensible_parallax
6900-2234-1		189053		6753943245283232640	refused_no_defensible_parallax
6953-342-1		207210		6816342553085162752	refused_no_defensible_parallax
6954-1126-1		208955		6813564190280657664	refused_no_defensible_parallax
6997-840-1	2530			5004023416831936640	refused_no_defensible_parallax
707-895-1		241936		3388423635390733184	refused_no_defensible_parallax
721-1930-1		250804		3329602202847340672	refused_no_defensible_parallax
728-1634-1		249394		3343765978495753856	refused_no_defensible_parallax
730-2182-1		253862		3328301583671107712	refused_no_defensible_parallax
730-7-1		253630		3328633846639278976	refused_no_defensible_parallax
7330-2616-1		144926		6036781288524608896	refused_no_defensible_parallax
7350-1089-1		150688		6027336204448630272	refused_no_defensible_parallax
7350-1281-1		150896		6027290304171349760	refused_no_defensible_parallax
7376-858-1		159291		4058477364475360384	refused_no_defensible_parallax
7378-920-1		163137		4043597536140109696	refused_no_defensible_parallax
7379-297-1		158072		4054784792020729856	refused_no_defensible_parallax
7380-312-1		317874		4054564408661544832	refused_no_defensible_parallax
7385-909-1		320468		4041131434675973888	refused_no_defensible_parallax
739-1216-1		255198		3332390980947632384	refused_no_defensible_parallax
7391-1931-1		165467		4050075785571153920	refused_no_defensible_parallax
7394-1174-1		170400		4046787288089226496	refused_no_defensible_parallax
7399-605-1		164998		4039138496731986048	refused_no_defensible_parallax
7406-224-1		169922		6733257097943032064	refused_no_defensible_parallax
7408-853-1		173379		6737067421128942080	refused_no_defensible_parallax
7423-1413-1		180571		6758078164921724544	refused_no_defensible_parallax
7423-684-1		179431		6756501087292837120	refused_no_defensible_parallax
743-1339-1		255466		3332439252084078464	refused_no_defensible_parallax
7437-1775-1	96407	184479		6740881528181241856	refused_no_defensible_parallax
7479-321-1		200382		6777312574655610624	refused_no_defensible_parallax
751-198-1		265138		3158612412267097600	refused_no_defensible_parallax
7702-900-1	48533	85898		5419212545223047040	refused_no_defensible_parallax
7758-309-1		109019		6147375459427004032	refused_no_defensible_parallax
7761-271-1		107734		6149773288132051072	no_parallax_published
7781-1395-1		112906		6139100912874613376	refused_no_defensible_parallax
7792-2172-1		117752		6161092210581640960	refused_no_defensible_parallax
7794-2027-1	67558	120487		6113727959779505280	refused_no_defensible_parallax
7807-673-1		123140		6110965200598595328	refused_no_defensible_parallax
7810-1110-1		128552		6104861055638173696	refused_no_defensible_parallax
7822-957-1		134637		6199217497099869312	refused_no_defensible_parallax
7842-1013-1		141761		5996285141400549504	refused_no_defensible_parallax
7855-39-1		144380		5996653924488907136	refused_no_defensible_parallax
7871-1384-1		150130		5969286079313753600	refused_no_defensible_parallax
7872-2038-1		152525		5969798318617395328	refused_no_defensible_parallax
7872-2291-1		322396		5970091269728822272	refused_no_defensible_parallax
7877-89-1		154809		5965284376702639616	refused_no_defensible_parallax
7893-65-1		160685		5957585836856721280	refused_no_defensible_parallax
7907-2504-1		165232		6724374079103933312	refused_no_defensible_parallax
7912-658-1		166676		6721140793354045696	refused_no_defensible_parallax
7977-931-1		199814		6484660576915985408	refused_no_defensible_parallax
8094-317-1		274956		4796962523800678528	refused_no_defensible_parallax
8190-369-1		297757		5407056585193234560	refused_no_defensible_parallax
8191-1871-1		297807		5406686187222155008	refused_no_defensible_parallax
8228-2965-1		102815		5369157450171039360	refused_no_defensible_parallax
8244-1296-1	61653			6079003634534050432	refused_no_defensible_parallax
8267-501-1	68617			6094478745294288128	refused_no_defensible_parallax
8270-1957-1	67131	119632		6094571276072749056	refused_no_defensible_parallax
8271-98-1		121657		6093647097888952960	refused_no_defensible_parallax
8275-480-1		122356		6090268268598917376	refused_no_defensible_parallax
8277-3230-1		125569		6093137203672624128	no_parallax_published
8278-3074-1	71500	128266		6098143932950518528	refused_no_defensible_parallax
8282-3091-1		126982		6091854485920476032	refused_no_defensible_parallax
8283-713-1		128934		5905782415164869120	refused_no_defensible_parallax
8293-437-1		133453		5907062104955481216	refused_no_defensible_parallax
8305-177-1		133478		5900311417131027840	refused_no_defensible_parallax
8307-1090-1		137217		5888965900269575936	refused_no_defensible_parallax
8320-1958-1		147876		5934555088300288640	refused_no_defensible_parallax
8323-2905-1		144853		5933460696283315968	refused_no_defensible_parallax
8325-2439-1		150082		5942780844009984512	no_parallax_published
8325-3858-1		148794		5943792016793706496	refused_no_defensible_parallax
8338-2190-1		150838		5936904053123504256	refused_no_defensible_parallax
8344-1931-1		163256		5954343892408177664	refused_no_defensible_parallax
8346-1083-1	85358	157597		5950246218746306816	refused_no_defensible_parallax
8352-1543-1	87389				refused_no_defensible_parallax
8353-2680-1	85072			5925395434861799424	refused_no_defensible_parallax
8354-2087-1		158782		5922204136734522368	refused_no_defensible_parallax
8381-272-1		173325		6656271428364468736	refused_no_defensible_parallax
8387-1447-1		177719		6658079747031957632	refused_no_defensible_parallax
8437-835-1		207852		6564164583389970432	refused_no_defensible_parallax
8441-84-1		209033		6561257337207686912	no_parallax_published
8445-109-1		211314		6511100399885536768	refused_no_defensible_parallax
8448-1042-1		217596		6539676638373111552	refused_no_defensible_parallax
8587-1028-1		299979		5309969193078777088	refused_no_defensible_parallax
8592-196-1	46847	82919		5306936808717438208	refused_no_defensible_parallax
8602-845-1	48865	86633		5259948285948781824	refused_no_defensible_parallax
8605-270-1	51662	91593			no_parallax_published
8635-2027-1		103344		5343794603153104640	refused_no_defensible_parallax
8641-1259-1		107737		6071817604507678464	refused_no_defensible_parallax
8644-508-1		104537		6071161608396858624	refused_no_defensible_parallax
8649-1562-1	64025	113840		6067803115747253632	refused_no_defensible_parallax
8653-1671-1		114392		6066796134897718656	refused_no_defensible_parallax
8694-1575-1		134007		5887600650418511104	refused_no_defensible_parallax
8701-514-1		142001		5884526106658330880	refused_no_defensible_parallax
8710-1256-1		143886		5932899636151369856	no_parallax_published
8711-590-1		146782		5932147260999289984	refused_no_defensible_parallax
8726-2172-1		153967		5923811657107846272	refused_no_defensible_parallax
8742-2065-1		161460		5945104490030338432	refused_no_defensible_parallax
8745-2882-1		171437		6654211802567476352	refused_no_defensible_parallax
8800-1314-1		200239		6457749931042968064	refused_no_defensible_parallax
881-34-1	61472				refused_no_defensible_parallax
8959-2515-1		306379		5337490725065727872	refused_no_defensible_parallax
8977-4540-1		309129			no_parallax_published
8982-555-1		105533		6052900060307103104	refused_no_defensible_parallax
8988-903-1	61479	109517		6054730369177817856	refused_no_defensible_parallax
8989-1428-1	63299	112536		6055751540594114816	refused_no_defensible_parallax
8993-120-1		113742		5863358136989292032	refused_no_defensible_parallax
9001-2317-1		113360		5858526741133151488	refused_no_defensible_parallax
9005-1535-1		121878		5867289578253032064	refused_no_defensible_parallax
9006-1657-1		126716		5854327195155207680	refused_no_defensible_parallax
9007-4736-1		129627		5877478958735452672	refused_no_defensible_parallax
9008-3329-1		121661		5866029297418327936	refused_no_defensible_parallax
9009-3848-1		124514		5853747683843899264	refused_no_defensible_parallax
9009-633-1		124098		5854042730896903680	no_parallax_published
9024-1496-1		133105		5873597407736762880	refused_no_defensible_parallax
9030-1612-1		139435		5825944642518756736	refused_no_defensible_parallax
9036-1781-1		143800		5832790923478280448	refused_no_defensible_parallax
9036-2948-1		143286		5833161561989472000	refused_no_defensible_parallax
9039-1488-1		153928		5914927431337015808	refused_no_defensible_parallax
9041-1260-1		147158		5828636693650101888	refused_no_defensible_parallax
9050-471-1		150887		5815318584170290944	no_parallax_published
9086-975-1		189031		6442911708091533568	refused_no_defensible_parallax
