gaia_source_id	label	field	spine	overlay	applied	disposition
6158333261028864000	HD 109587	hd	109587	109587|109588	109588	extra-alias
6193638132719624320	HIP 64589	hd		114963	114963	added
6258554673619817216	HIP 75858 / HD 137975	hd	137975	137975|137976	137976	extra-alias
626241416128895616	HIP 48843	hd		86276	86276	added
628411856378018560	HIP 49747 / HD 88021	hd	88021	88021|88022	88022	extra-sibling-rendered
6289248090458173568	HIP 67694 / HD 120793	hd	120793	120794	120794	overlay-wins
6289248090458174464	HIP 67688	hd		120793	120793	added
6293889335197400064	HIP 67744 / HD 120901	hd	120901	120901|120902	120902	extra-sibling-rendered
6362604104650994816	HIP 98757 / HD 188136	hd	188136	188136|188137	188137	extra-alias
6443377905319179264	HIP 99512 / HD 191155	hd	191155	191155|191171	191171	extra-alias
6571411430168175488	HIP 108639 / HD 208926	hd	208926	208926|208927	208927	extra-alias
66010696701152384	HIP 19009 / HD 25555	hd	25555	25555|25556	25556	extra-sibling-rendered
66581961710329984	HIP 18263	hd		283167	283167	added
6697163605830036096	HD 189401	hd	189401	189401|189402	189402	extra-alias
6699199317248760960	HIP 99606	hd		191756		suppressed-collision
6723162172446338176	HIP 90286 / HD 169051	hd	169051	169183	169183	overlay-wins
6724105656508792576	HIP 88726 / HD 165189	hd	165189	165190	165190	overlay-wins
6726876327040339712	HIP 90968 / HD 170868	hd	170868	170867	170868	suppressed-collision
675332278144070784	HIP 38106 / HD 63208	hd	63208	63208|63209	63209	extra-sibling-rendered
680022210631907456	HIP 41404 / HD 71150	hd	71150	71151	71151	overlay-wins
6857801911049835264	HIP 103138	hd		358564	358564	added
6882756014636634752	HD 198850	hd	198850	198850|358533	358533	extra-alias
6885784580759052288	HIP 104493	hd		358328	358328	added
6888391939441650944	HIP 103672	hd		358150	358150	added
6888560851915102464	HIP 103337	hd		358059	358059	added
6892638798808049408	HIP 105504	hd		358435	358435	added
884282471454638080	HIP 33915	hd		268006	268006	added
891024676756129408	HIP 33943	hd		268053	268053	added
970003524691958528	HIP 29388 / HD 42126	hd	42126	42127	42127	overlay-wins
988195941005525760	HIP 34866	hd		54649		suppressed-collision
111968221155410560	HIP 14376 / HD 19134	hr	927	927|928	928	extra-sibling-rendered
1175827016168739456	HIP 70327 / HD 126128	hr	5385	5386	5386	overlay-wins
1185648953539868800	HIP 71795 / HD 129246	hr	5477	5478	5478	overlay-wins
1279798794197267072	Izar / HIP 72105 / HD 129988	hr	5505	5506	5506	overlay-wins
1374695306328813568	HIP 76669 / HD 139891	hr	5833	5834	5834	overlay-wins
1801210568415251072	HIP 107310 / HD 206826	hr	8309	8310	8310	overlay-wins
2098202128093842432	HIP 91926 / HD 173607	hr	7053	7054	7054	overlay-wins
2132788541955849984	HIP 94336 / HD 179957	hr	7293	7294	7294	overlay-wins
2809005372903101824	HIP 3885 / HD 4757	hr	230	231	231	overlay-wins
2875096978193873024	HIP 118281 / HD 224635	hr	9074	9075	9075	overlay-wins
3185880919107441920	HIP 21986 / HD 30020	hr	1505	1506	1506	overlay-wins
3247046373003772032	HIP 18255 / HD 24554	hr	1211	1212	1212	overlay-wins
3482326708703712896	HIP 56280 / HD 100286	hr	4443	4444	4444	overlay-wins
376603455732600832	HIP 4675 / HD 5788	hr	282	283	283	overlay-wins
4109030160308320128	Guniibuu / HIP 84405 / HD 155885	hr	6401	6402	6402	overlay-wins
4576147844112599424	Bodu / HIP 88267 / HD 164668	hr	6729	6730	6730	overlay-wins
5586147890974345472	HIP 35960 / HD 58634	hr	2842	2843	2843	overlay-wins
5612323414549657728	HIP 37229 / HD 61555	hr	2948	2949	2949	overlay-wins
5632038276500794496	HIP 46657 / HD 82383	hr	3780	3781	3781	overlay-wins
5756766016559683200	HIP 43822 / HD 76369	hr	3552	3553	3553	overlay-wins
5869474617129630976	HD 116072	hr		5034	5034	added
6038073970589665280	HIP 80399 / HD 147722	hr	6105	6106	6106	overlay-wins
6053807844583576064	HD 108250	hr		4729	4729	added
6126469139186679808	HD 105383	hr		4619	4619	added
6245698187231874816	HD 145501	hr		6026	6026	added
6724105656508792576	HIP 88726 / HD 165189	hr	6749	6750	6750	overlay-wins
6726876327040339712	HIP 90968 / HD 170868	hr	6952	6953	6952	suppressed-collision
680022210631907456	HIP 41404 / HD 71150	hr	3310	3311	3311	overlay-wins
970003524691958528	HIP 29388 / HD 42126	hr	2175	2176	2176	overlay-wins
1002898644851988352	HIP 33805	gl		GJ 11026	GJ 11026	added
104453918172129792	HIP 9829 / HD 12846	gl		GJ 10295	GJ 10295	added
1057879895596316416	HIP 56936	gl		GJ 9371	GJ 9371	added
1072844970405231104	HIP 53580	gl	Gl 406.1	GJ 9341	GJ 9341	overlay-wins
1088813933689615872	HIP 36834	gl	Gl 277.1	GJ 9236	GJ 9236	overlay-wins
1090049716041842816	HIP 41689	gl	Gl 308.1	GJ 9266	GJ 9266	overlay-wins
1108529414127974656	HIP 36635	gl	Gl 275.1	GJ 9235	GJ 9235	overlay-wins
1113055759899565568	HIP 32313	gl	GJ 9216	GJ 2050	GJ 2050	overlay-wins
1185619988280226944	HIP 72146 / HD 130004	gl		GJ 12127	GJ 12127	added
1209182041427374080	HIP 75277 / HD 136923	gl		GJ 12215	GJ 12215	added
1219254942328596736	HIP 78709 / HD 144287	gl	Gl 609.2	GJ 9542	GJ 9542	overlay-wins
