gaia_source_id	hip	v_mag	v_via	g_mag	reason	designations
2780312105147176448	2309	9.510	hip	10.794	mag	
527956488339113600	2552	10.270	hip	11.107	sibling	GJ 22B
425040000962497792	3821	3.460	hip	6.762	mag	GJ 34B
2349697309661130496	3843	8.530	hip	9.962	mag	
2580702091317005184	4399	9.420	hip	16.368	mag	
426620514567407872	4962	5.920	hip	8.681	mag	HD 6130 · HR 292
4692276170590701952	5842	7.220	hip	7.971	sibling	GJ 55.1B
4692263904164105856	5896	4.250	hip	7.332	mag	HD 7788 · HR 377 · GJ 55.3B · kap Tuc
566072570739864960	6167	7.220	hip	8.558	mag	HD 7471
2587121486876087936	6694	10.630	hip	10.896	sibling	
318653798469111680	7337	9.660	hip	10.245	sibling	
405566344355270016	7841	9.150	hip	10.002	sibling	
4913415652884481792	8440	7.580	hip	13.609	mag	HD 11211
2511741649735557504	8958	9.360	hip	10.551	mag	
4937000898856154624	10138	6.120	hip	13.089	mag	GJ 86B
358747558698475392	10498	9.200	hip	11.514	mag	
2496601855657408640	11830	8.730	hip	10.129	mag	HD 15822
4741383211744134912	12397	8.940	hip	10.024	mag	
114832620743735040	13081	7.560	hip	13.912	mag	GJ 113C
434690036551517952	14669	10.110	hip	17.688	mag	
5059349158319689344	14879	3.800	hip	6.634	mag	GJ 127B
68486384567412992	16664	5.950	hip	6.668	sibling	
69733883588579840	16742	8.670	hip	10.345	mag	
247893765591317504	17228	10.110	hip	10.699	sibling	
216236691227616384	17642	10.230	hip	11.457	mag	
5095173411813002624	18031	8.600	hip	10.439	mag	
473347456640408448	18413	6.530	hip	12.152	mag	GJ 10540B
3256334497479302272	18512	8.070	hip	21.343	mag	
3256334497479304832	18512	8.070	hip	10.438	mag	GJ 157B
170654035812544640	19201	6.700	hip	8.636	mag	
150031183405510272	19464	9.550	hip	10.230	sibling	HD 283432
169089465130413696	19576	7.670	hip	9.720	mag	
4675215254821665024	20560	9.330	hip	10.363	mag	
3313069881590622848	21421	0.870	hip	11.948	mag	GJ 171.1B
273659171319529472	21607	8.730	hip	10.388	mag	HD 29149
273102062522249728	22279	6.770	hip	8.256	mag	
3226736469093460736	22856	8.540	hip	9.376	sibling	
4764556724969863296	23437	7.020	hip	12.245	mag	GJ 10718C
2974726136265625088	23452	8.310	hip	9.637	mag	GJ 185B
