tyc	hip	hd	gl	gaia_source_id	reason
			GJ 11926		no_v_magnitude
			GJ 11928		no_v_magnitude
			GJ 11931		no_v_magnitude
			GJ 11932		no_v_magnitude
			GJ 11945		no_v_magnitude
			GJ 11954		no_v_magnitude
			GJ 11959		no_v_magnitude
			GJ 11971B	1658968054798747008	no_v_magnitude
			GJ 11983		no_v_magnitude
			GJ 11984B		no_v_magnitude
			GJ 11992B	3728979327527368064	no_v_magnitude
			GJ 12010		no_v_magnitude
			GJ 12014		no_v_magnitude
			GJ 12015		no_v_magnitude
			GJ 12022		no_v_magnitude
			GJ 12023		no_v_magnitude
			GJ 12032		no_v_magnitude
			GJ 12039		no_v_magnitude
			GJ 12049B		no_v_magnitude
			GJ 12055		no_v_magnitude
			GJ 12066	6297076922485674240	no_v_magnitude
			GJ 12073B		no_v_magnitude
			GJ 12089B		no_v_magnitude
			GJ 12103		no_v_magnitude
			GJ 12104		no_v_magnitude
			GJ 12105		no_v_magnitude
			GJ 12110	1237730036208674048	no_v_magnitude
			GJ 12123	6281432246412503424	no_v_magnitude
			GJ 12128		no_v_magnitude
			GJ 12131		no_v_magnitude
			GJ 12146		no_v_magnitude
			GJ 12147B		no_v_magnitude
			GJ 12148		no_v_magnitude
			GJ 12150	1269789664970320512	no_v_magnitude
			GJ 12154	1262763648230973440	no_v_magnitude
			GJ 12155		no_v_magnitude
			GJ 12163		no_v_magnitude
			GJ 12166		no_v_magnitude
			GJ 12178B	5888257161906604800	no_v_magnitude
			GJ 12183		no_v_magnitude
			GJ 12192		no_v_magnitude
			GJ 12199		no_v_magnitude
			GJ 12201		no_v_magnitude
			GJ 12203	5792730526510790144	no_v_magnitude
			GJ 12204		no_v_magnitude
			GJ 12208B	6000386835153463680	no_v_magnitude
			GJ 12210		no_v_magnitude
			GJ 12213		no_v_magnitude
			GJ 12216		no_v_magnitude
			GJ 12228	1395761158842816256	refused_no_defensible_parallax
			GJ 12240		no_v_magnitude
			GJ 12244		no_v_magnitude
			GJ 12247	6265453524968112640	no_v_magnitude
			GJ 12253		no_v_magnitude
			GJ 12255		no_v_magnitude
			GJ 12260		no_v_magnitude
			GJ 12261		no_v_magnitude
			GJ 12263		no_v_magnitude
			GJ 12267		no_v_magnitude
			GJ 12269		no_v_magnitude
			GJ 12271		no_v_magnitude
			GJ 12287		no_v_magnitude
			GJ 12290	4346523537966269824	no_v_magnitude
			GJ 12310C	6036120928693496320	no_v_magnitude
			GJ 12319		no_v_magnitude
			GJ 12325		no_v_magnitude
			GJ 12329		no_v_magnitude
			GJ 12330		no_v_magnitude
			GJ 12334		no_v_magnitude
			GJ 12337		no_v_magnitude
			GJ 12341		no_v_magnitude
			GJ 12344		no_v_magnitude
			GJ 12345		no_v_magnitude
			GJ 12347		no_v_magnitude
			GJ 12354	5808812121015148160	no_v_magnitude
			GJ 12355		no_v_magnitude
			GJ 12358		no_v_magnitude
			GJ 12359		no_v_magnitude
			GJ 12360		no_v_magnitude
			GJ 12363		no_v_magnitude
			GJ 12367		no_v_magnitude
			GJ 12369		no_v_magnitude
			GJ 12371	5781043783061254272	no_v_magnitude
			GJ 12376		no_v_magnitude
			GJ 12379B	5930568568425533440	no_v_magnitude
			GJ 12381		no_v_magnitude
			GJ 12391		no_v_magnitude
			GJ 12393		no_v_magnitude
			GJ 12403		no_v_magnitude
			GJ 12414		no_v_magnitude
			GJ 12425		no_v_magnitude
			GJ 12430B	4561968267282882688	no_v_magnitude
			GJ 12435		no_v_magnitude
			GJ 12439B	1310513342280949376	no_v_magnitude
			GJ 12445	4364185165038935040	no_v_magnitude
			GJ 12446		no_v_magnitude
			GJ 12455		no_v_magnitude
			GJ 12457		no_v_magnitude
			GJ 12464		no_v_magnitude
			GJ 12469B	4548562269906020352	no_v_magnitude
			GJ 12474		no_v_magnitude
			GJ 12484		no_v_magnitude
			GJ 12501		no_v_magnitude
			GJ 12503		no_v_magnitude
			GJ 12523		no_v_magnitude
			GJ 12527		no_v_magnitude
			GJ 12528B		no_v_magnitude
			GJ 12529A	4594186745414679680	no_v_magnitude
			GJ 12533		no_v_magnitude
			GJ 12541		no_v_magnitude
			GJ 12543		no_v_magnitude
			GJ 12548		no_v_magnitude
			GJ 12549		no_v_magnitude
			GJ 12554		no_v_magnitude
			GJ 12558		no_v_magnitude
			GJ 12561	4123874907297370240	no_v_magnitude
			GJ 12565		no_v_magnitude
			GJ 12572		no_v_magnitude
			GJ 12573	4371611781971072768	no_v_magnitude
			GJ 12574		no_v_magnitude
			GJ 12578		no_v_magnitude
			GJ 12581		no_v_magnitude
			GJ 12582		no_v_magnitude
